,href,href_2,html_image,brand,color_label,Sugars,SPF_Sugar_Pct,Protein,SPF_Protein_Pct,Total Fat,SPF_TotalFat_Pct
33,<a href=https://www.wholefoodsmarket.com/product/fage-total-plain-greek-yogurt-53-oz-b000wob94u>FAGE Total Plain Greek Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/fage-total-plain-greek-yogurt-53-oz-b000wob94u>Total Plain Greek Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/63e5a8b7425a7866289abe9d_0689544080602-glamor-front-2023-01-27t14-24-17-iphone-7-quality-90-1-33-0-user-61f81fa9ba341c6ee137962b-k267-535382.jpg' width='100%'>,FAGE,cyan,5.0,18.51851851851852,14.0,51.85185185185185,8.0,29.629629629629626
34,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-blueberry-whole-milk-yogurt-pouch-35-oz-b00myuqask>Stonyfield Organic Organic Blueberry Whole Milk Yogurt Pouch</a>,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-blueberry-whole-milk-yogurt-pouch-35-oz-b00myuqask>Organic Blueberry Whole Milk Yogurt Pouch</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6424afd090c2113d58cd6eeb_2023-03-29_21-39-18_front.main.jpg' width='100%'>,Stonyfield Organic,magenta,9.0,51.42857142857142,5.0,28.57142857142857,3.5,20.0
35,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-low-fat-strawberry-yogurt-pouch-35-oz-b00myuqb3o>Stonyfield Organic Organic Low Fat Strawberry Yogurt Pouch</a>,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-low-fat-strawberry-yogurt-pouch-35-oz-b00myuqb3o>Organic Low Fat Strawberry Yogurt Pouch</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6424aabf90c2113d58cc5960_2023-03-29_21-18-58_front.main.jpg' width='100%'>,Stonyfield Organic,magenta,9.0,56.25,5.0,31.25,2.0,12.5
36,<a href=https://www.wholefoodsmarket.com/product/siggis-strawberry-banana-kids-yogurt-pouches-35-oz-b0837hkffm>siggi's Strawberry Banana Kids Yogurt Pouches</a>,<a href=https://www.wholefoodsmarket.com/product/siggis-strawberry-banana-kids-yogurt-pouches-35-oz-b0837hkffm>Strawberry Banana Kids Yogurt Pouches</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/623a7901bb90953e5417dc24_0850004694268-glamor-front-2022-03-09t17-34-44-iphone-x-quality-90-1-29-0-user-5984ad42a967f880524de2c4-i42s-411671.jpg' width='100%'>,siggi's,magenta,6.0,46.15384615384615,5.0,38.46153846153847,2.0,15.384615384615385
37,<a href=https://www.wholefoodsmarket.com/product/fage-total-2-peach-greek-yogurt-53-oz-b0012zcpm8>FAGE Total 2% Peach Greek Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/fage-total-2-peach-greek-yogurt-53-oz-b0012zcpm8>Total 2% Peach Greek Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/63e44f82df86a60bd86a7806_0689544081968-glamor-front-2023-01-09t16-47-43-iphone-7-quality-90-1-33-0-user-61f81fa9ba341c6ee137962b-t07x-002796.jpg' width='100%'>,FAGE,cyan,11.0,43.13725490196079,12.0,47.05882352941176,2.5,9.803921568627452
38,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-strawberry-smoothie-6-fl-oz-b00108epuc>Stonyfield Organic Organic Strawberry Smoothie</a>,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-strawberry-smoothie-6-fl-oz-b00108epuc>Organic Strawberry Smoothie</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/64763150fd9cfc19f8dfa8ef_2023-05-30_17-25-08_front.main.jpg' width='100%'>,Stonyfield Organic,magenta,15.0,65.21739130434783,6.0,26.08695652173913,2.0,8.695652173913043
39,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-plain-whole-milk-greek-yogurt-19-lb-b01nbbvpli>Stonyfield Organic Organic Plain Whole Milk Greek Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-plain-whole-milk-greek-yogurt-19-lb-b01nbbvpli>Organic Plain Whole Milk Greek Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5e87bbb137156711cc3beaec_00052159702922-glamor-frontpackageglamor-2020-03-12t16-44-08-iphone-x-quality-90-1-21-1-user-5dc17de060e00edd1f03737a-pqrp-906423.jpg' width='100%'>,Stonyfield Organic,cyan,5.0,18.51851851851852,16.0,59.25925925925925,6.0,22.22222222222222
40,<a href=https://www.wholefoodsmarket.com/product/365-by-whole-foods-market-organic-yogurt-lowfat-vanilla-32-oz-b074h5y3tm>365 by Whole Foods Market Organic Yogurt Lowfat - Vanilla</a>,<a href=https://www.wholefoodsmarket.com/product/365-by-whole-foods-market-organic-yogurt-lowfat-vanilla-32-oz-b074h5y3tm>Organic Yogurt Lowfat - Vanilla</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/628fb5b12ea74b63ebf33ac7_0099482446796-glamor-front-2022-03-04t19-42-08-iphone-x-quality-90-1-29-0-user-5984ad42a967f880524de2c4-q20w-758556.jpg' width='100%'>,365 by Whole Foods Market,magenta,16.0,68.08510638297872,6.0,25.53191489361702,1.5,6.382978723404255
41,<a href=https://www.wholefoodsmarket.com/product/noosa-vanilla-yoghurt-4-pk-16-oz-b01c6va7qw>noosa Vanilla Yoghurt (4 pk)</a>,<a href=https://www.wholefoodsmarket.com/product/noosa-vanilla-yoghurt-4-pk-16-oz-b01c6va7qw>Vanilla Yoghurt (4 pk)</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5be8cc2a8696df6d674515de_upc-0853923002572-done-0-glamor-a0e32948-167a-437d-97bd-a74a55e5894e-xxkvq8.jpg' width='100%'>,noosa,magenta,16.0,57.14285714285714,6.0,21.428571428571427,6.0,21.428571428571427
42,<a href=https://www.wholefoodsmarket.com/product/noosa-lemon-yoghurt-8-oz-b004kz0vx2>noosa Lemon Yoghurt</a>,<a href=https://www.wholefoodsmarket.com/product/noosa-lemon-yoghurt-8-oz-b004kz0vx2>Lemon Yoghurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5be8c9fd155ef88c904db561_upc-0853923002107-done-0-glamor-86c92030-9ef1-45ed-9978-baae52738b25-xxqyn0.jpg' width='100%'>,noosa,magenta,35.0,58.333333333333336,12.0,20.0,13.0,21.666666666666668
