,href,href_2,html_image,brand,color_label,Sugars,SPF_Sugar_Pct,Protein,SPF_Protein_Pct,Total Fat,SPF_TotalFat_Pct
55,"<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-icelandic-skyr-nonfat-yogurt-peach-53-oz-b00cijm0po>siggi's siggi’s® Icelandic Skyr Nonfat Yogurt, Peach</a>","<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-icelandic-skyr-nonfat-yogurt-peach-53-oz-b00cijm0po>siggi’s® Icelandic Skyr Nonfat Yogurt, Peach</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6320c162ec3191707f6584cf_2022-09-13_17-44-07_Front.main.jpg' width='100%'>,siggi's,cyan,11.0,42.30769230769231,15.0,57.692307692307686,0.0,0.0
56,<a href=https://www.wholefoodsmarket.com/product/siggis-mixed-berries-53oz-plant-based-coconut-blend-b07yqgk9tw>siggi's Mixed Berries (5.3oz) Plant Based Coconut Blend</a>,<a href=https://www.wholefoodsmarket.com/product/siggis-mixed-berries-53oz-plant-based-coconut-blend-b07yqgk9tw>Mixed Berries (5.3oz) Plant Based Coconut Blend</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/624b76b327ac6613630ff9d0_dld-0850004694121-glamor-front-2022-03-07t18-34-14-iphone-x-quality-90-1-29-0-user-5984ad42a967f880524de2c4-0kwa-622377-1649112752016.jpg' width='100%'>,siggi's,cyan,8.0,28.57142857142857,10.0,35.714285714285715,10.0,35.714285714285715
57,<a href=https://www.wholefoodsmarket.com/product/chobani-monterey-strawberry-less-sugar-greek-yogurt-53-oz-b07cn36j65>Chobani Monterey Strawberry Less Sugar Greek Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/chobani-monterey-strawberry-less-sugar-greek-yogurt-53-oz-b07cn36j65>Monterey Strawberry Less Sugar Greek Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/628faff660d8f16416fdba9c_0818290011497-glamor-front-2022-03-04t22-00-04-iphone-x-quality-90-1-29-0-user-5984ad42a967f880524de2c4-ctwq-807296.jpg' width='100%'>,Chobani,cyan,9.0,37.5,12.0,50.0,3.0,12.5
58,<a href=https://www.wholefoodsmarket.com/product/siggis-4-mixed-berries-skyr-yogurt-44-oz-b011yjqbrg>siggi's 4% Mixed Berries Skyr Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/siggis-4-mixed-berries-skyr-yogurt-44-oz-b011yjqbrg>4% Mixed Berries Skyr Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/62143a92f6ea6d3941e7fa05_0898248001565-glamor-front-2022-01-31t14-37-14-iphone-7-quality-90-1-26-2-user-5c4f16e4fc9c91accd101ce4-dvo8-269158.jpg' width='100%'>,siggi's,cyan,8.0,32.6530612244898,12.0,48.97959183673469,4.5,18.367346938775512
59,"<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-icelandic-skyr-nonfat-yogurt-acai-mixed-berry-53-oz-b002m3zbno>siggi's siggi’s® Icelandic Skyr Nonfat Yogurt, Acai Mixed Berry</a>","<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-icelandic-skyr-nonfat-yogurt-acai-mixed-berry-53-oz-b002m3zbno>siggi’s® Icelandic Skyr Nonfat Yogurt, Acai Mixed Berry</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6320c0ed0d13697094843407_2022-09-13_17-42-11_Front.main.jpg' width='100%'>,siggi's,cyan,11.0,42.30769230769231,15.0,57.692307692307686,0.0,0.0
60,"<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-icelandic-skyr-nonfat-yogurt-strawberry-53-oz-b00cijlxz2>siggi's siggi’s® Icelandic Skyr Nonfat Yogurt, Strawberry</a>","<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-icelandic-skyr-nonfat-yogurt-strawberry-53-oz-b00cijlxz2>siggi’s® Icelandic Skyr Nonfat Yogurt, Strawberry</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6320c0353f3201708df229b9_2022-09-13_17-39-07_Front.main.jpg' width='100%'>,siggi's,cyan,11.0,42.30769230769231,15.0,57.692307692307686,0.0,0.0
61,<a href=https://www.wholefoodsmarket.com/product/white-mountain-organic-whole-milk-bulgarian-yogurt-32-fl-oz-b015hvymau>White Mountain Organic Whole Milk Bulgarian Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/white-mountain-organic-whole-milk-bulgarian-yogurt-32-fl-oz-b015hvymau>Organic Whole Milk Bulgarian Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/624b76be27ac6613630ffa0d_dld-0086479200226-glamor-front-2022-03-07t16-36-57-iphone-x-quality-90-1-29-0-user-5984ad42a967f880524de2c4-79r5-309211-1649112758832.jpg' width='100%'>,White Mountain,cyan,5.0,23.809523809523807,8.0,38.095238095238095,8.0,38.095238095238095
62,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-lowfat-plain-yogurt-2-lb-b000qjdyty>Stonyfield Organic Organic Lowfat Plain Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-lowfat-plain-yogurt-2-lb-b000qjdyty>Organic Lowfat Plain Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/613f86fae11bfde36015e06c_dld-0052159050009-glamor-front-2021-08-19t16-30-04-iphone-x-quality-90-1-25-4-user-5984ad42a967f880524de2c4-fjrc-762197-1631553274160.jpg' width='100%'>,Stonyfield Organic,magenta,9.0,51.42857142857142,7.0,40.0,1.5,8.571428571428571
63,<a href=https://www.wholefoodsmarket.com/product/la-fermiere-orange-blossom-honey-french-yogurt-49-oz-b07fydlwq8>La Fermière™ Orange Blossom Honey French Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/la-fermiere-orange-blossom-honey-french-yogurt-49-oz-b07fydlwq8>Orange Blossom Honey French Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/62143a6cf6ea6d3941e7f8fc_0842605111411-glamor-front-2022-01-31t14-59-38-iphone-7-quality-90-1-26-2-user-5c4f16e4fc9c91accd101ce4-yp9g-198746.jpg' width='100%'>,La Fermière™,magenta,18.0,54.54545454545454,4.0,12.121212121212121,11.0,33.33333333333333
64,"<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-plantbased-coconut-blend-vanilla-24-oz-tub-b08ngdkspw>siggi's siggi’s® Plant-Based Coconut Blend, Vanilla</a>","<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-plantbased-coconut-blend-vanilla-24-oz-tub-b08ngdkspw>siggi’s® Plant-Based Coconut Blend, Vanilla</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/632b7ee75fa2b17b96ba6b6c_2022-09-21_21-15-24_Front.main.jpg' width='100%'>,siggi's,yellow,9.0,28.125,11.0,34.375,12.0,37.5
65,<a href=https://www.wholefoodsmarket.com/product/icelandic-provisions-peach-cloudberry-skyr-53-oz-b01gv64r0k>Icelandic Provisions Peach Cloudberry Skyr</a>,<a href=https://www.wholefoodsmarket.com/product/icelandic-provisions-peach-cloudberry-skyr-53-oz-b01gv64r0k>Peach Cloudberry Skyr</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/62143a97f6ea6d3941e7fa29_0854074006044-glamor-front-2022-01-31t13-39-38-iphone-7-quality-90-1-26-2-user-5c4f16e4fc9c91accd101ce4-473h-873993.jpg' width='100%'>,Icelandic Provisions,cyan,10.0,37.03703703703704,15.0,55.55555555555556,2.0,7.4074074074074066
66,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-blueberry-yogurt-pouches-35-oz-b075lyr6y4>Stonyfield Organic Organic Blueberry Yogurt Pouches</a>,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-blueberry-yogurt-pouches-35-oz-b075lyr6y4>Organic Blueberry Yogurt Pouches</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6476260cfd9cfc19f8df28e2_2023-05-30_16-36-52_front.main.jpg' width='100%'>,Stonyfield Organic,magenta,9.0,56.25,5.0,31.25,2.0,12.5
67,<a href=https://www.wholefoodsmarket.com/product/noosa-vanilla-yogurt-24-oz-b079nfkn7t>noosa Vanilla Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/noosa-vanilla-yogurt-24-oz-b079nfkn7t>Vanilla Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6112df7b67833178ee99131c_dld-0853923002336-glamor-front-2021-03-12t15-42-54-iphone-x-quality-90-1-24-4-user-5d7652c1db2c4b51d4c666ca-ch2w-857961-1628626806172.jpg' width='100%'>,noosa,magenta,24.0,57.14285714285714,9.0,21.428571428571427,9.0,21.428571428571427
68,<a href=https://www.wholefoodsmarket.com/product/noosa-blueberry-yoghurt-8-oz-b00cijm61w>noosa Blueberry Yoghurt</a>,<a href=https://www.wholefoodsmarket.com/product/noosa-blueberry-yoghurt-8-oz-b00cijm61w>Blueberry Yoghurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/623a760cbb90953e5417d032_0853923002206-glamor-front-2022-03-04t22-38-38-iphone-x-quality-90-1-29-0-user-5984ad42a967f880524de2c4-16n7-540809.jpg' width='100%'>,noosa,magenta,31.0,58.490566037735846,11.0,20.754716981132077,11.0,20.754716981132077
69,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-strawberry-whole-milk-probiotic-yogurt-2-lb-b00108grty>Stonyfield Organic Strawberry Whole Milk Probiotic Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-strawberry-whole-milk-probiotic-yogurt-2-lb-b00108grty>Strawberry Whole Milk Probiotic Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/61428c3ce8ec74123d68728c_0052159000134-glamor-front-2021-08-24t20-39-34-iphone-x-quality-90-1-25-4-user-5984ad42a967f880524de2c4-dzrk-841769.jpg' width='100%'>,Stonyfield Organic,magenta,16.0,57.14285714285714,6.0,21.428571428571427,6.0,21.428571428571427
70,<a href=https://www.wholefoodsmarket.com/product/chobani-0-greek-yogurt-with-raspberry-on-the-bottom-53-oz-b006jvikl0>Chobani 0% Greek Yogurt with Raspberry on the Bottom</a>,<a href=https://www.wholefoodsmarket.com/product/chobani-0-greek-yogurt-with-raspberry-on-the-bottom-53-oz-b006jvikl0>0% Greek Yogurt with Raspberry on the Bottom</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5f8e29c4dcf2cc7322dc3b81_894700010120-front.jpg' width='100%'>,Chobani,magenta,13.0,54.166666666666664,11.0,45.83333333333333,0.0,0.0
71,<a href=https://www.wholefoodsmarket.com/product/icelandic-provisions-coconut-skyr-53-oz-b01gv64qe2>Icelandic Provisions Coconut Skyr</a>,<a href=https://www.wholefoodsmarket.com/product/icelandic-provisions-coconut-skyr-53-oz-b01gv64qe2>Coconut Skyr</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/61de05f8ed30933eadbdc08b_5f8e2f70af1fc87a06e6e071-front-854074006068-front.jpg' width='100%'>,Icelandic Provisions,cyan,10.0,34.48275862068966,15.0,51.724137931034484,4.0,13.793103448275861
72,<a href=https://www.wholefoodsmarket.com/product/la-fermiere-pressed-lemon-french-yogurt-49-oz-b07fyztp6t>La Fermière™ Pressed Lemon French Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/la-fermiere-pressed-lemon-french-yogurt-49-oz-b07fyztp6t>Pressed Lemon French Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/62143a6af6ea6d3941e7f8ef_0842605111404-glamor-front-2022-01-31t14-57-19-iphone-7-quality-90-1-26-2-user-5c4f16e4fc9c91accd101ce4-ne3k-406522.jpg' width='100%'>,La Fermière™,magenta,17.0,53.125,4.0,12.5,11.0,34.375
73,<a href=https://www.wholefoodsmarket.com/product/la-fermiere-vanilla-bean-french-yogurt-49-oz-b07fyh7w7n>La Fermière™ Vanilla Bean French Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/la-fermiere-vanilla-bean-french-yogurt-49-oz-b07fyh7w7n>Vanilla Bean French Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/621439bdf6ea6d3941e7f410_0842605111459-glamor-front-2022-01-31t15-02-18-iphone-7-quality-90-1-26-2-user-5c4f16e4fc9c91accd101ce4-013t-143702.jpg' width='100%'>,La Fermière™,magenta,17.0,53.125,4.0,12.5,11.0,34.375
74,<a href=https://www.wholefoodsmarket.com/product/icelandic-provisions-key-lime-skyr-53-oz-b0727lgc9s>Icelandic Provisions Key Lime Skyr</a>,<a href=https://www.wholefoodsmarket.com/product/icelandic-provisions-key-lime-skyr-53-oz-b0727lgc9s>Key Lime Skyr</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/61de0743ed30933eadbdc0a4_5f8e2f72af1fc87a06e6e078-front-854074006105-front.jpg' width='100%'>,Icelandic Provisions,cyan,10.0,37.03703703703704,15.0,55.55555555555556,2.0,7.4074074074074066
75,<a href=https://www.wholefoodsmarket.com/product/brown-cow-maple-cream-top-yogurt-2-lb-b000o6efyw>Brown Cow Maple Cream Top Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/brown-cow-maple-cream-top-yogurt-2-lb-b000o6efyw>Maple Cream Top Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/623a762ebb90953e5417d10c_0088194340621-glamor-front-2022-03-04t19-44-09-iphone-x-quality-90-1-29-0-user-5984ad42a967f880524de2c4-n2jl-347313.jpg' width='100%'>,Brown Cow,magenta,18.0,58.06451612903226,6.0,19.35483870967742,7.0,22.58064516129032
76,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-low-fat-vanilla-yogurt-2-lb-b00108cspq>Stonyfield Organic Organic Low Fat Vanilla Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-low-fat-vanilla-yogurt-2-lb-b00108cspq>Organic Low Fat Vanilla Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/623a7631bb90953e5417d120_0052159005207-glamor-front-2022-03-04t22-28-15-iphone-x-quality-90-1-29-0-user-5984ad42a967f880524de2c4-bceg-753378.jpg' width='100%'>,Stonyfield Organic,magenta,16.0,68.08510638297872,6.0,25.53191489361702,1.5,6.382978723404255
77,<a href=https://www.wholefoodsmarket.com/product/biok-plus-strawberry-dairy-probiotic-21-fl-oz-b017kqzrwm>Bio-K Plus Strawberry Dairy Probiotic</a>,<a href=https://www.wholefoodsmarket.com/product/biok-plus-strawberry-dairy-probiotic-21-fl-oz-b017kqzrwm>Strawberry Dairy Probiotic</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5f3dbfdb25cce68c27b9f9e7_00626608000961-glamor-frontpackageglamor-2020-08-07t17-43-16-iphone-x-quality-90-1-21-1-user-5984ad42a967f880524de2c4-cu3t-103633.jpg' width='100%'>,Bio-K Plus,magenta,10.0,76.92307692307693,3.0,23.076923076923077,0.0,0.0
78,<a href=https://www.wholefoodsmarket.com/product/noosa-blueberry-yoghurt-4-pk-b004kz45dy>noosa Blueberry Yoghurt (4 Pk)</a>,<a href=https://www.wholefoodsmarket.com/product/noosa-blueberry-yoghurt-4-pk-b004kz45dy>Blueberry Yoghurt (4 Pk)</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/60f5da9cc1ac260b93f203ac_dld-0853923002077-glamor-front-2021-03-29t00-49-24-iphone-7-quality-90-1-25-1-user-5c4f16e4fc9c91accd101ce4-ju94-423612-1626725018080.jpg' width='100%'>,noosa,magenta,16.0,61.53846153846154,5.0,19.230769230769234,5.0,19.230769230769234
79,<a href=https://www.wholefoodsmarket.com/product/culina-coconut-yogurt-blueberry-lavender-5-oz-b07n1pjczn>Culina Coconut Yogurt Blueberry Lavender</a>,<a href=https://www.wholefoodsmarket.com/product/culina-coconut-yogurt-blueberry-lavender-5-oz-b07n1pjczn>Coconut Yogurt Blueberry Lavender</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/63ee98de9dd46d5397391c59_0854724007117-glamor-front-2023-01-10t20-13-37-iphone-x-quality-90-1-33-0-user-5984ad42a967f880524de2c4-melb-404998.jpg' width='100%'>,Culina,yellow,8.0,27.586206896551722,2.0,6.896551724137931,19.0,65.51724137931035
80,<a href=https://www.wholefoodsmarket.com/product/siggis-triple-cream-vanilla-yogurt-4-oz-b07437zlxn>siggi's Triple Cream Vanilla Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/siggis-triple-cream-vanilla-yogurt-4-oz-b07437zlxn>Triple Cream Vanilla Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5be8c8998696df6d67451484_upc-0898248001732-done-0-glamor-07099334-84e8-464f-af4d-c81710d12be6-99g4uk.jpg' width='100%'>,siggi's,yellow,8.0,29.629629629629626,9.0,33.33333333333333,10.0,37.03703703703704
81,<a href=https://www.wholefoodsmarket.com/product/siggis-0-blueberry-skyr-yogurt-53-oz-b002m3zbhu>siggi's 0% Blueberry Skyr Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/siggis-0-blueberry-skyr-yogurt-53-oz-b002m3zbhu>0% Blueberry Skyr Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5be8c641eabd2b8c04e59591_upc-0898248001015-done-0-glamor-3d097cc8-9408-4bb7-96d7-33422806835d-d94qug.jpg' width='100%'>,siggi's,cyan,10.0,40.0,15.0,60.0,0.0,0.0
82,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-yobaby-blueberry-apple-yogurt-6pk-4-oz-b01hxz03si>Stonyfield Organic Yobaby Blueberry / Apple Yogurt (6-pk)</a>,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-yobaby-blueberry-apple-yogurt-6pk-4-oz-b01hxz03si>Yobaby Blueberry / Apple Yogurt (6-pk)</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6455367042c456954985f034_2023-05-05_17-01-54_top.main.jpg' width='100%'>,Stonyfield Organic,magenta,9.0,52.94117647058824,4.0,23.52941176470588,4.0,23.52941176470588
83,"<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-2-icelandic-skyr-lowfat-yogurt-key-lime-53-oz-b0844xrkk8>siggi's siggi’s® 2% Icelandic Skyr Lowfat Yogurt, Key Lime</a>","<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-2-icelandic-skyr-lowfat-yogurt-key-lime-53-oz-b0844xrkk8>siggi’s® 2% Icelandic Skyr Lowfat Yogurt, Key Lime</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6320c2aa3f3201708df24193_2022-09-13_17-49-40_Front.main.jpg' width='100%'>,siggi's,cyan,11.0,38.59649122807017,15.0,52.63157894736842,2.5,8.771929824561402
84,"<a href=https://www.wholefoodsmarket.com/product/so-delicious-dairy-free-coconut-milk-yogurt-alternative-peach-vegan-nongmo-project-verified-53-oz-b072xmndvf>So Delicious Dairy Free Coconut Milk Yogurt Alternative, Peach, Vegan, Non-GMO Project Verified</a>","<a href=https://www.wholefoodsmarket.com/product/so-delicious-dairy-free-coconut-milk-yogurt-alternative-peach-vegan-nongmo-project-verified-53-oz-b072xmndvf>Coconut Milk Yogurt Alternative, Peach, Vegan, Non-GMO Project Verified</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/61d4c928a2629f4fe8ddc705_00744473000470-main.jpg' width='100%'>,So Delicious Dairy Free,magenta,16.0,76.19047619047619,1.0,4.761904761904762,4.0,19.047619047619047
85,<a href=https://www.wholefoodsmarket.com/product/noosa-raspberry-yoghurt-8-oz-b00cj5r9ia>noosa Raspberry Yoghurt</a>,<a href=https://www.wholefoodsmarket.com/product/noosa-raspberry-yoghurt-8-oz-b00cj5r9ia>Raspberry Yoghurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6214396ff6ea6d3941e7f1d1_0853923002404-glamor-front-2022-01-31t15-11-10-iphone-7-quality-90-1-26-2-user-5c4f16e4fc9c91accd101ce4-ngbf-705915.jpg' width='100%'>,noosa,magenta,30.0,57.692307692307686,11.0,21.153846153846153,11.0,21.153846153846153
86,<a href=https://www.wholefoodsmarket.com/product/brown-cow-vanilla-cream-top-yogurt-53-oz-b000o6gam2>Brown Cow Vanilla Cream Top Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/brown-cow-vanilla-cream-top-yogurt-53-oz-b000o6gam2>Vanilla Cream Top Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5be8c9d0155ef88c904db554_upc-0088194340027-done-0-glamor-32f09fea-2afd-49f1-b4b6-a8c088d31ff1-70fke4.jpg' width='100%'>,Brown Cow,magenta,16.0,59.25925925925925,5.0,18.51851851851852,6.0,22.22222222222222
87,"<a href=https://www.wholefoodsmarket.com/product/wallaby-organic-aussie-greek-whole-milk-yogurt-strawberry-32-oz-usda-organic-b0785wfkrz>Wallaby Organic Aussie Greek Whole Milk Yogurt, Strawberry</a>","<a href=https://www.wholefoodsmarket.com/product/wallaby-organic-aussie-greek-whole-milk-yogurt-strawberry-32-oz-usda-organic-b0785wfkrz>Organic Aussie Greek Whole Milk Yogurt, Strawberry</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/61d4d555ce1e3f4faa3bb719_00795709000092-main.jpg' width='100%'>,Wallaby,magenta,19.0,51.35135135135135,12.0,32.432432432432435,6.0,16.216216216216218
88,<a href=https://www.wholefoodsmarket.com/product/green-valley-creamery-lactose-free-whole-milk-plain-yogurt-24-oz-b07fw8qn5b>Green Valley Creamery Lactose Free Whole Milk Plain Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/green-valley-creamery-lactose-free-whole-milk-plain-yogurt-24-oz-b07fw8qn5b>Lactose Free Whole Milk Plain Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5ebc691cca37a6e4e7953c16_00081312300309-glamor-frontpackageglamor-2020-03-10t18-33-39-iphone-7-quality-90-1-21-1-user-5c4f16e4fc9c91accd101ce4-ai3e-159037.jpg' width='100%'>,Green Valley Creamery,cyan,6.0,31.57894736842105,7.0,36.84210526315789,6.0,31.57894736842105
89,<a href=https://www.wholefoodsmarket.com/product/noosa-strawberry-rhubarb-yoghurt-8-oz-b00cijmarw>noosa Strawberry Rhubarb Yoghurt</a>,<a href=https://www.wholefoodsmarket.com/product/noosa-strawberry-rhubarb-yoghurt-8-oz-b00cijmarw>Strawberry Rhubarb Yoghurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/61390c6633ec27498b3fecf8_0853923002503-glamor-front-2021-08-18t22-23-25-iphone-x-quality-90-1-25-4-user-5984ad42a967f880524de2c4-0gwr-229653.jpg' width='100%'>,noosa,magenta,31.0,58.490566037735846,11.0,20.754716981132077,11.0,20.754716981132077
90,"<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-2-icelandic-skyr-lowfat-yogurt-black-cherry-53-oz-b01knz4qbk>siggi's siggi’s® 2% Icelandic Skyr Lowfat Yogurt, Black Cherry</a>","<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-2-icelandic-skyr-lowfat-yogurt-black-cherry-53-oz-b01knz4qbk>siggi’s® 2% Icelandic Skyr Lowfat Yogurt, Black Cherry</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6320c6e2ec3191707f65a14b_2022-09-13_18-07-40_Front.main.jpg' width='100%'>,siggi's,cyan,11.0,37.93103448275862,15.0,51.724137931034484,3.0,10.344827586206897
91,<a href=https://www.wholefoodsmarket.com/product/365-by-whole-foods-market-organic-yogurt-whole-milk-strawberry-6-4-ounce-cups-24-oz-b07dwg98cm>365 by Whole Foods Market Organic Yogurt Whole Milk - Strawberry (6 - 4 Ounce Cups)</a>,<a href=https://www.wholefoodsmarket.com/product/365-by-whole-foods-market-organic-yogurt-whole-milk-strawberry-6-4-ounce-cups-24-oz-b07dwg98cm>Organic Yogurt Whole Milk - Strawberry (6 - 4 Ounce Cups)</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/606353ccbd823450528e4eb6_00099482472108-c1n1.jpg' width='100%'>,365 by Whole Foods Market,magenta,11.0,62.857142857142854,3.0,17.142857142857142,3.5,20.0
92,"<a href=https://www.wholefoodsmarket.com/product/365-by-whole-foods-market-kefir-plain-32-fl-oz-b07n1pw3wn>365 by Whole Foods Market Kefir, Plain</a>","<a href=https://www.wholefoodsmarket.com/product/365-by-whole-foods-market-kefir-plain-32-fl-oz-b07n1pw3wn>Kefir, Plain</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5fbd9466fbbe3865abc62ae2_00099482476076-front.jpg' width='100%'>,365 by Whole Foods Market,magenta,12.0,42.857142857142854,8.0,28.57142857142857,8.0,28.57142857142857
93,<a href=https://www.wholefoodsmarket.com/product/ellenos-real-greek-yogurt-passionfruit-53-oz-b07txdvzpj>Ellenos Real Greek Yogurt Passionfruit</a>,<a href=https://www.wholefoodsmarket.com/product/ellenos-real-greek-yogurt-passionfruit-53-oz-b07txdvzpj>Real Greek Yogurt Passionfruit</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5e4ebf84ace38020516a49a0_00857290006416-glamor-frontpackageglamor-2020-02-09t20-00-51-pixel-3a-quality-90-1-20-1-user-5984ad42a967f880524de2c4-yips-030412.jpg' width='100%'>,Ellenos,magenta,19.0,52.77777777777778,11.0,30.555555555555557,6.0,16.666666666666664
94,<a href=https://www.wholefoodsmarket.com/product/noosa-vanilla-bean-yoghurt-8-oz-b07fybydhg>noosa Vanilla Bean Yoghurt</a>,<a href=https://www.wholefoodsmarket.com/product/noosa-vanilla-bean-yoghurt-8-oz-b07fybydhg>Vanilla Bean Yoghurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/621439b5f6ea6d3941e7f3d3_0815909020338-glamor-front-2022-01-31t15-13-40-iphone-7-quality-90-1-26-2-user-5c4f16e4fc9c91accd101ce4-ey2g-153082.jpg' width='100%'>,noosa,magenta,32.0,57.14285714285714,12.0,21.428571428571427,12.0,21.428571428571427
